OTUID	ThasKO2r1	ThasKO2r2	ThasKO2r3	ThasKO2r4	ThasKO2r5	ThasKO2r9	ThasKO2r10	ThasKO2r11	ThasKO2r16	ThasKO1r1	ThasKO1r2	ThasKO1r3	ThasKO1r7	ThasKO1r8	ThasKO1r9	ThasKO1r10	ThasKO1r13	ThasKO1r14	ThasKO1r15	ThasKO1r16	ThasKO1r17	ACT2KOr7	ACT2KOr8	ACT2KOr9	ACT2KOr10	ACT2KOr13	ACT2KOr14	ACT2KOr15	ACT2KOr16	ACT2KOr17	ACT2CRr2	ACT2CRr3	ACT2CRr5	ACT2CRr8	ACT2CRr9	ACT2CRr10	ACT2CRr11	ACT2CRr13	ACT2CRr14	ACT2CRr15	ACT2CRr16	ACT2CRr17	ThahKOr1	ThahKOr2	ThahKOr3	ThahKOr4	ThahKOr5	ThahKOr7	ThahKOr8	ThahKOr9	ThahKOr10	ThahKOr11	ThahKOr13	ThahKOr15	ThahKOr16	ThahKOr17	ThadKOr1	ThadKOr3	ThadKOr4	ThadKOr5	ThadKOr7	ThadKOr8	ThadKOr9	ThadKOr10	ThadKOr11	ThadKOr13	ThadKOr14	ThadKOr15	ThadKOr17	Colr2	Colr3	Colr4	Colr5	Colr9	Colr10	Colr11	Colr13	Colr14	Colr15	Colr16	Colr17	BS1r1	BS1r2	BS1r3	BS2r1	BS2r2	BS2r3	BS3r1	BS3r2	BS3r3	BS4r1	BS4r2	BS4r3	BS5r1	BS5r2	BS5r3	BS6r1	BS6r2	BS6r3	BS7r1	BS7r2	BS7r3	BS8r1	BS8r2	BS8r3	BS9r1	BS9r2	BS9r3	A50Cp35r1	A50Cp35r2	A50Cp35r3	A50Cp35r4	A50Cp35r5	A50Cp35r6	IR24Cp35r1	IR24Cp35r2	IR24Cp35r3	soilCp42r1	soilCp42r2	soilCp42r3	XY54D35L1r1	XY54D35L1r2	XY54D35L1r3	XY54D35L1r4	XY54D35L1r5	XY54D35L1r6	XY54D35L1r7	XY54D35L1r8	J411D35L1r1	J411D35L1r2	J411D35L1r3	J411D35L1r4	J411D35L1r5	J411D35L1r6	J411D35L1r7	J411D35L1r8	J411D35L1r9	soilD35L1r1	soilD35L1r2	soilD35L1r3
OTU_1	12	38	24	21	53	32	67	32	293	24	45	57	19	33	32	28	17	88	60	12	29	23	8	12	5	3	3	20	13	8	11	14	161	17	4	6	23	13	0	11	10	9	2	10	7	1	6	29	3	41	25	22	14	23	6	22	28	15	27	42	30	19	3	74	31	34	35	25	16	84	24	26	20	9	33	8	17	34	60	14	23	1	5	6	4	3	0	6	3	3	4	3	1	2	4	1	5	6	4	9	11	0	7	3	3	0	3	2	1	0	0	0	0	0	0	0	0	1	0	0	19284	21153	12476	20960	30602	33558	23865	20607	30637	19385	30095	28731	22093	33572	20900	36488	22734	20	14	21
OTU_10	560	740	806	338	536	610	735	640	1120	1252	800	1067	1181	594	783	795	577	777	809	727	808	1372	591	595	544	493	398	401	614	416	936	789	540	325	453	398	640	391	782	817	654	797	1394	1248	1392	1373	825	960	515	1013	793	458	1015	546	568	566	248	405	333	773	289	250	346	517	621	636	565	300	503	950	554	1343	633	796	1268	1214	643	933	751	1001	1444	13	5	8	17	14	33	28	33	17	16	16	6	18	23	19	8	16	22	19	19	14	12	10	10	24	17	20	0	2	0	1	2	3	3	2	0	2	1	0	1057	764	730	1014	1097	771	422	560	805	813	762	984	1098	1458	574	772	872	45	59	64
OTU_100	5	4	20	4	7	9	19	10	19	12	16	14	18	4	10	7	6	13	12	17	11	4	4	5	5	8	4	5	19	10	10	7	5	2	5	2	6	3	5	12	9	8	21	18	34	12	9	11	3	6	11	2	14	10	8	5	4	9	6	8	1	5	1	13	5	12	8	7	41	11	1	21	7	3	6	9	2	0	5	3	4	0	1	0	0	0	0	0	5	0	0	1	0	1	3	0	1	1	2	1	1	0	1	0	4	0	3	0	0	3	0	1	0	1	0	6	3	0	2	2	19	18	31	10	70	17	9	14	27	16	25	6	24	59	17	20	31	2	1	3
OTU_1000	27	7	38	13	13	18	60	12	31	30	37	13	8	18	33	10	8	5	10	17	19	7	2	3	13	8	8	8	12	3	0	10	7	0	11	35	8	5	15	12	0	8	0	4	59	25	45	32	27	14	25	13	12	4	16	19	29	24	134	18	55	11	23	17	7	11	11	34	2	15	4	17	6	21	13	60	38	42	34	11	9	0	0	0	0	1	0	1	0	1	1	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	11	16	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_10003	2	0	3	0	0	0	0	1	0	0	3	0	0	3	0	0	5	0	0	4	36	0	0	2	0	0	0	0	3	0	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	18	3	0	1	5	3	0	0	0	5	0	1	0	1	2	3	1	0	2	0	1	1	0	1	0	1	1	2	2	0	0	4	3	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	0	0	0	4	0	1	0	0	1	0	0	0	0	1	0	1	0
OTU_10006	0	1	3	0	1	1	2	4	0	1	2	1	1	3	3	0	1	2	1	7	6	1	0	0	0	0	1	1	0	0	2	3	0	0	1	1	1	2	0	0	0	1	1	1	1	0	2	6	0	5	0	3	0	2	2	1	2	1	0	0	3	0	1	2	2	2	2	0	0	0	4	0	3	1	1	4	1	1	1	0	3	5	1	5	5	3	5	7	8	9	2	3	3	1	3	3	1	6	6	8	12	4	6	4	5	4	9	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	2	0	0	1	0	0	1	2	2	1
OTU_10007	1	1	1	0	0	4	1	0	1	0	1	4	1	0	4	1	0	1	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	1	3	0	0	0	0	1	2	1	2	2	3	3	4	3	4	1	2	3	5	6	5	6	3	5	6	8	3	1	5	5	3	4	2	0	0	0	0	0	1	0	0	0	3	11	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2
OTU_1001	18	28	24	38	13	15	39	32	56	39	100	119	12	25	43	25	25	38	40	42	58	12	7	16	28	9	15	6	7	10	20	38	4	9	17	18	8	21	73	12	7	14	60	50	17	39	46	45	16	22	26	59	35	38	37	33	18	21	30	19	39	12	18	28	23	67	73	24	57	17	55	32	37	43	33	59	54	18	43	43	80	16	12	19	18	24	15	36	37	32	19	22	24	15	28	33	17	20	27	29	31	20	17	16	21	20	12	17	0	0	3	0	0	0	0	0	0	3	11	8	0	2	0	0	0	0	0	26	0	2	2	0	0	0	0	1	1	7	5	6
